season,season_name,episode,gender,castaway_id,castaway,full_name,acknowledge,ack_score,ack_quote_clean
1,Survivor: Borneo,1,Female,US0001,Sonja,Sonja Christopher,True,4,Go get 'em you guys.
1,Survivor: Borneo,5,Male,US0005,Dirk,Dirk Been,True,4,Good luck.
1,Survivor: Borneo,6,Male,US0006,Joel,Joel Klug,True,3,Goodbye.
1,Survivor: Borneo,12,Male,US0012,Sean,Sean Kenniff,True,2,See you in a few days.
1,Survivor: Borneo,13,Female,US0013,Sue,Susan Hawk,True,4,See you guys.
2,Survivor: The Australian Outback,2,Male,US0018,Kel,Kel Gleason,True,3,Go get 'em.
2,Survivor: The Australian Outback,5,Female,US0021,Kimmi,Kimmi Kappenberg,True,4,"Got get 'em, guys."
2,Survivor: The Australian Outback,8,Female,US0024,Alicia,Alicia Calaway,True,4,"Bye, guys."
3,Survivor: Africa,1,Female,US0033,Diane,Diane Ogden,True,4,Good luck.
3,Survivor: Africa,4,Female,US0036,Linda,Linda Spencer,True,4,Bye guys.
3,Survivor: Africa,6,Female,US0038,Lindsey,Lindsey Richter,True,4,Bye.
3,Survivor: Africa,10,Male,US0041,Brandon,Brandon Quinton,True,4,Bye guys.
4,Survivor: Marquesas,1,Male,US0049,Peter,Peter Harkey,True,4,Go get 'em.
4,Survivor: Marquesas,6,Female,US0054,Gina,Gina Crews,True,3,"Bye, guys."
4,Survivor: Marquesas,7,Male,US0055,Boston Rob,Rob Mariano,True,4,"Good luck, guys."
4,Survivor: Marquesas,10,Female,US0057,Zoe,Zoe Zanidakis,True,3,Break an arm.
4,Survivor: Marquesas,14,Male,US0061,Paschal,Paschal English,True,4,Thank all of you.
4,Survivor: Marquesas,14,Female,US0062,Kathy,Kathy Vavrick-O'Brien,True,4,"See ya, guys."
5,Survivor: Thailand,4,Female,US0068,Ghandia,Ghandia Johnson,True,3,"Stay strong, y'all. See ya."
5,Survivor: Thailand,5,Female,US0069,Stephanie,Stephanie Dill,True,2,"Good luck, guys. See you."
5,Survivor: Thailand,6,Male,US0070,Robb,Robert Zbacnik,True,4,"Much love, dude. You guys rule. Good luck. Play hard, dude. For real, you guys are all with me."
5,Survivor: Thailand,7,Female,US0071,Shii Ann,Shii Ann Huang,True,2,"Good luck, you guys."
5,Survivor: Thailand,8,Female,US0072,Erin,Erin Collins,True,3,Good luck. I love you guys. Bye.
5,Survivor: Thailand,9,Male,US0073,Ken,Ken Stafford,True,3,Good luck out there.
5,Survivor: Thailand,10,Female,US0074,Penny,Penny Ramsey,True,4,Bye. Good luck.
5,Survivor: Thailand,12,Male,US0075,Jake,Jake Billingsley,True,4,"Thanks, guys. Good luck to all of you."
5,Survivor: Thailand,13,Male,US0076,Ted,Ted Rogers Jr.,True,3,"Bye, guys. Take care."
5,Survivor: Thailand,14,Female,US0078,Jan,Jan Gentry,True,4,I love y'all. Thank you.
6,Survivor: The Amazon,2,Female,US0082,Janet,Janet Koth,True,3,"Good luck, guys."
6,Survivor: The Amazon,11,Male,US0090,Alex,Alex Bell,True,4,"Take it easy, guys."
6,Survivor: The Amazon,14,Male,US0093,Butch,Butch Lockley,True,3,Good luck.
6,Survivor: The Amazon,14,Male,US0094,Rob,Rob Cesternino,True,4,Inaudible.
7,Survivor: Pearl Islands,8,Male,US0105,Andrew,Andrew Savage,True,3,"Ryan o, d, t, hang tough."
7,Survivor: Pearl Islands,9,Male,US0106,Ryan O.,Ryan Opray,True,2,"I'll be back, guys."
8,Survivor: All-Stars,14,Female,US0071,Shii Ann,Shii Ann Huang,True,4,"Good luck, everyone."
9,Survivor: Vanuatu,3,Female,US0116,Mia,Mia Galeotalanza,True,2,"Kick ass, ladies."
9,Survivor: Vanuatu,4,Male,US0117,Brady,Brady Finta,True,3,"Good luck, fellas."
9,Survivor: Vanuatu,5,Male,US0118,Travis,Travis Sampson,True,4,"Peace out, y'all."
9,Survivor: Vanuatu,6,Female,US0119,Lisa,Lisa Keiffer,True,2,True to my word.
9,Survivor: Vanuatu,7,Male,US0120,John K.,John Kenney,True,3,Take it easy.
10,Survivor: Palau,5,Male,US0137,Willard,Willard Smith,True,4,"Stay strong, stick to the plan, finish them off."
10,Survivor: Palau,5,Female,US0138,Angie,Angie Jakusz,True,4,"Steph, rock it for the ladies."
10,Survivor: Palau,9,Male,US0142,Coby,Coby Archa,True,3,That was a great compliment. Thank you.
10,Survivor: Palau,14,Female,US0147,Jenn,Jennifer Lyon,True,2,"Good luck, guys."
11,Survivor: Guatemala,3,Female,US0153,Brianna,Brianna Varela,True,3,You guys are strong. Kick some ... Butt.
11,Survivor: Guatemala,5,Male,US0155,Blake,Blake Towsley,True,2,Bye guys.
11,Survivor: Guatemala,6,Male,US0157,Brian,Brian Corridan,True,3,Good luck guys.
11,Survivor: Guatemala,8,Male,US0159,Brandon,Brandon Bellinger,True,1,Good luck guys.
11,Survivor: Guatemala,9,Male,US0141,Bobby Jon,Bobby Jon Drinkard,True,3,Hang in there. Good luck.
11,Survivor: Guatemala,10,Male,US0160,Jamie,Jamie Newton,True,4,You blindsided! nice! that's how you vote somebody off!
11,Survivor: Guatemala,12,Male,US0162,Judd,Judd Sergeant,True,1,Scumbags.
11,Survivor: Guatemala,14,Male,US0165,Rafe,Rafe Judkins,True,4,"Good luck tomorrow, guys."
12,Survivor: Panama,8,Male,US0173,Nick,Nick Stanbury,True,4,Cirie.
12,Survivor: Panama,9,Male,US0174,Austin,Austin Carty,True,4,Bye guys.
12,Survivor: Panama,10,Female,US0175,Sally,Sally Schumann,True,3,Thanks.
12,Survivor: Panama,15,Male,US0180,Terry,Terry Deitz,True,3,"Thanks for the journey, you guys."
13,Survivor: Cook Islands,4,Male,US0186,J.P.,John Calderon,True,4,That was pretty good.
13,Survivor: Cook Islands,11,Male,US0194,Nate,Nathan Gonzalez,True,3,One love.
13,Survivor: Cook Islands,12,Female,US0195,Candice,Candice Cody,True,4,"Still smiling, guys. Have fun. Love ya."
13,Survivor: Cook Islands,13,Male,US0196,Jonathan,Jonathan Penner,True,4,I'd like my hat back at some point. 'night guys.
