season,vote,episode,castaway,castaway_id,acknowledge,ack_gesture,ack_speak,ack_look,ack_smile,ack_speak_notes,ack_score,notes
1,1,1,Sonja,US0001,True,True,True,True,True,"""Go get 'em you guys.""",4,
1,2,2,B.B.,US0002,False,False,False,False,False,,0,"He said ""alright"" but to Jeff not to tribe. "
1,3,3,Stacey,US0003,False,False,False,False,False,,0,"Also said ""alright"" when told ""time for you to go"""
1,4,4,Ramona,US0004,False,False,False,False,False,,0,Went back for her bag 
1,5,5,Dirk,US0005,True,True,True,True,True,"""Good luck""",4,
1,6,6,Joel,US0006,True,True,True,True,False,"""Goodbye""",3,
1,7,7,Gretchen,US0007,True,True,False,True,True,,3,Gave thumbs up sign and wave
1,8,8,Greg,US0008,True,False,True,True,False,,2,Fake crying 
1,9,9,Jenna,US0009,False,False,False,False,False,,0,
1,10,10,Gervase,US0010,False,False,False,False,False,,0,
1,11,11,Colleen,US0011,True,True,False,True,True,,3,Slight smile and small wave
1,12,12,Sean,US0012,True,False,True,True,False,"""See you in a few days."" ",2,
1,13,13,Sue,US0013,True,True,True,True,True,"""See you guys."" ",4,
1,14,13,Rudy,US0014,False,False,False,False,False,,0,
2,1,1,Debb,US0017,False,False,False,False,False,,0,
2,2,2,Kel,US0018,False,False,False,False,False,,0,
2,3,3,Maralyn,US0019,False,False,False,False,False,,0,
2,4,4,Mitchell,US0020,False,False,False,False,False,,0,
2,5,5,Kimmi,US0021,False,False,False,False,False,,0,
2,6,7,Jeff,US0023,False,False,False,False,False,,0,
2,7,8,Alicia,US0024,False,False,False,False,False,,0,
2,8,10,Jerri,US0025,False,False,False,False,False,,0,
2,9,11,Nick,US0026,False,False,False,False,False,,0,
2,10,12,Amber,US0027,False,False,False,False,False,,0,
2,11,13,Rodger,US0028,False,False,False,False,False,,0,
2,12,14,Elisabeth,US0029,False,False,False,False,False,,0,
2,13,15,Keith,US0030,False,False,False,False,False,,0,
3,1,1,Diane,US0033,False,False,False,False,False,,0,
3,2,2,Jessie,US0034,False,False,False,False,False,,0,
3,3,3,Carl,US0035,False,False,False,False,False,,0,
3,4,4,Linda,US0036,False,False,False,False,False,,0,
3,5,5,Silas,US0037,False,False,False,False,False,,0,
3,6,6,Lindsey,US0038,False,False,False,False,False,,0,
3,7,7,Clarence,US0039,False,False,False,False,False,,0,
3,8,9,Kelly,US0040,False,False,False,False,False,,0,
3,9,10,Brandon,US0041,False,False,False,False,False,,0,
3,10,11,Frank,US0042,False,False,False,False,False,,0,
3,11,12,Kim P.,US0043,False,False,False,False,False,,0,
3,12,13,Teresa,US0044,False,False,False,False,False,,0,
3,13,14,Tom,US0045,False,False,False,False,False,,0,
3,14,14,Lex,US0046,False,False,False,False,False,,0,
4,1,1,Peter,US0049,True,True,True,True,True,"""Go get 'em""",4,
4,2,2,Patricia,US0050,False,False,False,False,False,,0,
4,3,3,Hunter,US0051,True,True,False,True,False,,2,
4,4,4,Sarah,US0052,True,True,False,True,True,,3,
4,5,5,Gabriel,US0053,False,False,False,False,False,,0,
4,6,6,Gina,US0054,True,False,True,True,True,"""Bye, guys.""",3,
4,7,7,Boston Rob,US0055,True,True,True,True,True,"""Good luck, guys.""",4,
4,8,8,John,US0056,True,True,False,True,False,,2,
4,9,10,Zoe,US0057,True,True,True,True,False,"""Break an arm""",3,
4,10,11,Tammy,US0058,False,False,False,False,False,,0,
4,11,12,Robert,US0059,False,False,False,False,False,,0,
4,12,13,Sean,US0060,True,True,False,True,True,,3,
4,13,14,Paschal,US0061,True,True,True,True,True,"""Thank all of you.""",4,
4,14,14,Kathy,US0062,True,True,True,True,True,"""See ya, guys.""",4,
5,1,1,John,US0065,True,True,False,True,True,,3,
5,2,2,Tanya,US0066,True,True,False,True,True,,3,
5,3,3,Jed,US0067,False,False,False,False,False,,0,
5,4,4,Ghandia,US0068,True,False,True,True,True,"""Stay strong, y'all. See ya.""",3,
5,5,5,Stephanie,US0069,True,False,True,True,False,"""Good luck, guys. See you.""",2,
5,6,6,Robb,US0070,True,True,True,True,True,"""Much love, dude. You guys rule. Good luck. Play hard, dude. For real, you guys are all with me.""",4,
